"$IoNode";"$IoItem";"$Textkey";"$Class";"$Groupkey";"$Location";"$Active";"$Priority";"$LogEnabled";"$PlantID";"$PlantType";"$EquipmentID";"$Devicename";"Cfg_Inst_Structure"
"ESP-Core";".ESAlarms.General.FltBrkInf";"T02_PLCALS_0001";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSig";"T02_PLCALS_0002";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrk230V";"T02_PLCALS_0003";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp1";"T02_PLCALS_0004";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp2";"T02_PLCALS_0005";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp3";"T02_PLCALS_0006";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkBus";"T02_PLCALS_0007";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkIO";"T02_PLCALS_0008";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkValve";"T02_PLCALS_0009";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkProp";"T02_PLCALS_0010";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp4";"T02_PLCALS_0011";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp5";"T02_PLCALS_0012";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp6";"T02_PLCALS_0013";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp7";"T02_PLCALS_0014";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp8";"T02_PLCALS_0015";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltFuse";"T02_PLCALS_0016";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopGen";"T02_PLCALS_0017";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopDesk";"T02_PLCALS_0018";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopSp1";"T02_PLCALS_0019";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopSp2";"T02_PLCALS_0020";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopSp3";"T02_PLCALS_0021";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.Fire";"T02_PLCALS_0022";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
