"en";"cn"
ID_0001 HW: fuse monitoring circuit breaker power supply;ID_0001硬件：熔断器监控断路器电源
ID_0002 HW: fuse monitoring 24V supply general;ID_0002 HW：保险丝监控24V电源一般
ID_0003 HW: fuse monitoring 230V supply;ID_0003硬件：保险丝监控230V电源
ID_0004 HW: fuse monitoring spare;ID_0004硬件：熔断器监控备件
ID_0005 HW: fuse monitoring spare;ID_0005硬件：熔断器监控备件
ID_0006 HW: fuse monitoring spare;ID_0006硬件：熔断器监控备件
ID_0007 HW: fuse monitoring 24V supply field bus;ID_0007硬件：熔断器监控 24V 电源现场总线
ID_0008 HW: fuse monitoring 24V supply I/O modules;ID_0008硬件：保险丝监控 24V 电源 I/O 模块
ID_0009 HW: fuse monitoring spare;ID_0009硬件：熔断器监控备件
ID_0010 HW: fuse monitoring 24V supply proportional valves;ID_0010 HW：熔断器监控 24V 电源比例阀
ID_0011 HW: fuse monitoring spare;ID_0011硬件：熔断器监控备件
ID_0012 HW: fuse monitoring spare;ID_0012硬件：熔断器监控备件
ID_0013 HW: fuse monitoring spare;ID_0013硬件：熔断器监控备件
ID_0014 HW: fuse monitoring spare;ID_0014硬件：熔断器监控备件
ID_0015 HW: fuse monitoring spare;ID_0015硬件：熔断器监控备件
ID_0016 HW: collective fault fuses;ID_0016硬件：集体故障保险丝
ID_0017 SAFETY: emergency stop general;ID_0017 安全：急停一般
ID_0018 SAFETY: emergency stop button operation desk;ID_0018 安全：急停按钮操作台
ID_0019 SAFETY: emergency stop button spare;ID_0019 安全：急停按钮备用
ID_0020 SAFETY: emergency stop button spare;ID_0020 安全：急停按钮备用
ID_0021 SAFETY: emergency stop button spare;ID_0021 安全：急停按钮备用
ID_0022 fire alarm;ID_0022火灾报警器
ID_0023 HW: error ventilation paint systems;ID_0023硬件：错误通风涂料系统
ID_0024 HW: error ventilation application station;ID_0024硬件：错误通风应用站
ID_0025 HW: level container 1 waste solvent too high;ID_0025硬件：水平容器1废溶剂过高
ID_0026 HW: level container 2 waste solvent too high;ID_0026硬件：容器2级废溶剂过高
ID_0027 HW: level externalcontainer waste solvent too high;ID_0027硬件：外部容器废溶剂液位过高
ID_0028 HW: spare;ID_0028 硬件：备用
